"filename", "language", "Go", "Go Module File", "Batch", "Python", "Shell Script", "JSON", "HTML", "YAML", "Grule Rules", "TypeScript", "Go Work File", "bpmn", "comment", "blank", "total"
"c:\Users\luca barbieri\Desktop\Workspace\google-function\_script\git.bat", "Batch", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\luca barbieri\Desktop\Workspace\google-function\_script\push.bat", "Batch", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\luca barbieri\Desktop\Workspace\google-function\_script\push.sh", "Shell Script", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\luca barbieri\Desktop\Workspace\google-function\_script\startFx.bat", "Batch", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\luca barbieri\Desktop\Workspace\google-function\_script\startFx.sh", "Shell Script", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 0, 14
"c:\Users\luca barbieri\Desktop\Workspace\google-function\_script\tag.bat", "Batch", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\luca barbieri\Desktop\Workspace\google-function\_script\tag_update.bat", "Batch", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\luca barbieri\Desktop\Workspace\google-function\_script\tag_update.sh", "Shell Script", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\luca barbieri\Desktop\Workspace\google-function\_script\updateAllDep.bat", "Batch", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 56
"c:\Users\luca barbieri\Desktop\Workspace\google-function\_script\updateAllFx.bat", "Batch", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 47
"c:\Users\luca barbieri\Desktop\Workspace\google-function\_script\update_all_dependencies.py", "Python", 0, 0, 0, 172, 0, 0, 0, 0, 0, 0, 0, 0, 12, 50, 234
"c:\Users\luca barbieri\Desktop\Workspace\google-function\accounting\accounting.go", "Go", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18, 120
"c:\Users\luca barbieri\Desktop\Workspace\google-function\accounting\axa-fleet.go", "Go", 252, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 37, 334
"c:\Users\luca barbieri\Desktop\Workspace\google-function\accounting\go.mod", "Go Module File", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\luca barbieri\Desktop\Workspace\google-function\appcheck-proxy\appcheck-proxy.go", "Go", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 53
"c:\Users\luca barbieri\Desktop\Workspace\google-function\appcheck-proxy\go.mod", "Go Module File", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\luca barbieri\Desktop\Workspace\google-function\blockchain\blockchain.go", "Go", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 73
"c:\Users\luca barbieri\Desktop\Workspace\google-function\blockchain\go.mod", "Go Module File", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\luca barbieri\Desktop\Workspace\google-function\blockchain\model.go", "Go", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\luca barbieri\Desktop\Workspace\google-function\bpmn\bpmn.go", "Go", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 70
"c:\Users\luca barbieri\Desktop\Workspace\google-function\bpmn\engine.go", "Go", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 111
"c:\Users\luca barbieri\Desktop\Workspace\google-function\bpmn\go.mod", "Go Module File", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 97
"c:\Users\luca barbieri\Desktop\Workspace\google-function\bpmn\models.go", "Go", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 74
"c:\Users\luca barbieri\Desktop\Workspace\google-function\bpmn\test.bpmn", "bpmn", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 125, 0, 0, 125
"c:\Users\luca barbieri\Desktop\Workspace\google-function\broker\acl.go", "Go", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 26
"c:\Users\luca barbieri\Desktop\Workspace\google-function\broker\broker.go", "Go", 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14, 134
"c:\Users\luca barbieri\Desktop\Workspace\google-function\broker\emit.go", "Go", 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 197
"c:\Users\luca barbieri\Desktop\Workspace\google-function\broker\emitv2.go", "Go", 181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 41, 226
"c:\Users\luca barbieri\Desktop\Workspace\google-function\broker\get-policies.go", "Go", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 74
"c:\Users\luca barbieri\Desktop\Workspace\google-function\broker\get-policy.go", "Go", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36
"c:\Users\luca barbieri\Desktop\Workspace\google-function\broker\get-transactions.go", "Go", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 42
"c:\Users\luca barbieri\Desktop\Workspace\google-function\broker\go.mod", "Go Module File", 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 114
"c:\Users\luca barbieri\Desktop\Workspace\google-function\broker\policy-attachment.go", "Go", 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26, 140
"c:\Users\luca barbieri\Desktop\Workspace\google-function\broker\policy-fiscalcode.go", "Go", 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 154
"c:\Users\luca barbieri\Desktop\Workspace\google-function\broker\policy-update.go", "Go", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 123
"c:\Users\luca barbieri\Desktop\Workspace\google-function\broker\proposal.go", "Go", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 67
"c:\Users\luca barbieri\Desktop\Workspace\google-function\broker\put-policy-reserved.go", "Go", 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26, 140
"c:\Users\luca barbieri\Desktop\Workspace\google-function\broker\sequence.go", "Go", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 78
"c:\Users\luca barbieri\Desktop\Workspace\google-function\callback\callback.go", "Go", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 45
"c:\Users\luca barbieri\Desktop\Workspace\google-function\callback\email-verify.go", "Go", 225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 234
"c:\Users\luca barbieri\Desktop\Workspace\google-function\callback\go.mod", "Go Module File", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 109
"c:\Users\luca barbieri\Desktop\Workspace\google-function\callback\payment-v2.go", "Go", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 27, 136
"c:\Users\luca barbieri\Desktop\Workspace\google-function\callback\payment.go", "Go", 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 21, 182
"c:\Users\luca barbieri\Desktop\Workspace\google-function\callback\sign.go", "Go", 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 163
"c:\Users\luca barbieri\Desktop\Workspace\google-function\claim\claim.go", "Go", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 38
"c:\Users\luca barbieri\Desktop\Workspace\google-function\claim\get-claim-document.go", "Go", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 90
"c:\Users\luca barbieri\Desktop\Workspace\google-function\claim\go.mod", "Go Module File", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 97
