MACROCLASSE (A,B etc);MACROCLASSE (01, 02 etc);Descrizione;Settore Attività;Codice Ateco 2007;INCENDIO;INCENDIO <= 500.000 € fatturato;INCENDIO > 500.000 € fatturato;FURTO;FURTO <= 500.000 € fatturato;FURTO > 500.000 € fatturato;RCT;RCO;RC PRODOTTO;Gruppo Codice Incendio;Gruppo Codice Furto;Gruppo Codice RCT;Gruppo Codice RCO;Gruppo Codice RCP;RC veicoli in cons. e cust.;RC postuma officine ;RC postuma 12 mesi (no edile);RC postuma D.M.37/2008;Danni da furto;Danni alle cose lavori;RC impresa edile;Furto;Elettronica;Guasto Macchine
AGRICOLTURA, SILVICOLTURA E PESCA;COLTIVAZIONI AGRICOLE E PRODUZIONE DI PRODOTTI ANIMALI, CACCIA E SERVIZI CONNESSI;Coltivazione di cereali (escluso il riso);;01.11.10;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;;;;;;;;;;;;;;;
AGRICOLTURA, SILVICOLTURA E PESCA;COLTIVAZIONI AGRICOLE E PRODUZIONE DI PRODOTTI ANIMALI, CACCIA E SERVIZI CONNESSI;Coltivazione di semi oleosi;;01.11.20;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;;;;;;;;;;;;;;;
AGRICOLTURA, SILVICOLTURA E PESCA;COLTIVAZIONI AGRICOLE E PRODUZIONE DI PRODOTTI ANIMALI, CACCIA E SERVIZI CONNESSI;Coltivazione di legumi da granella;;01.11.30;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;;;;;;;;;;;;;;;
AGRICOLTURA, SILVICOLTURA E PESCA;COLTIVAZIONI AGRICOLE E PRODUZIONE DI PRODOTTI ANIMALI, CACCIA E SERVIZI CONNESSI;Coltivazioni miste di cereali, legumi da granella e semi oleosi;;01.11.40;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;;;;;;;;;;;;;;;
AGRICOLTURA, SILVICOLTURA E PESCA;COLTIVAZIONI AGRICOLE E PRODUZIONE DI PRODOTTI ANIMALI, CACCIA E SERVIZI CONNESSI;Coltivazione di riso;;01.12.00;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;;;;;;;;;;;;;;;
AGRICOLTURA, SILVICOLTURA E PESCA;COLTIVAZIONI AGRICOLE E PRODUZIONE DI PRODOTTI ANIMALI, CACCIA E SERVIZI CONNESSI;Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in piena aria (escluse barbabietola da zucchero e patate);;01.13.10;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;;;;;;;;;;;;;;;
AGRICOLTURA, SILVICOLTURA E PESCA;COLTIVAZIONI AGRICOLE E PRODUZIONE DI PRODOTTI ANIMALI, CACCIA E SERVIZI CONNESSI;Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in colture protette fuori suolo (escluse barbabietola da zucchero e patate);;01.13.21;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;;;;;;;;;;;;;;;
AGRICOLTURA, SILVICOLTURA E PESCA;COLTIVAZIONI AGRICOLE E PRODUZIONE DI PRODOTTI ANIMALI, CACCIA E SERVIZI CONNESSI;Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in colture protette ad esclusione delle colture fuori suolo (escluse barbabietola da zucchero e patate);;01.13.29;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;;;;;;;;;;;;;;;
AGRICOLTURA, SILVICOLTURA E PESCA;COLTIVAZIONI AGRICOLE E PRODUZIONE DI PRODOTTI ANIMALI, CACCIA E SERVIZI CONNESSI;Coltivazione di barbabietola da zucchero;;01.13.30;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;;;;;;;;;;;;;;;
AGRICOLTURA, SILVICOLTURA E PESCA;COLTIVAZIONI AGRICOLE E PRODUZIONE DI PRODOTTI ANIMALI, CACCIA E SERVIZI CONNESSI;Coltivazione di patate;;01.13.40;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;Escluso;;;;;;;;;;;;;;;
